Using device: cuda
#################### ITERATION #1 ####################
Epoch 1, Train Loss: 4.297253, Validation Loss: 4.346600, Policy Accuracy: 19.07%, Value Accuracy: 65.20%
Epoch 2, Train Loss: 4.279400, Validation Loss: 4.346233, Policy Accuracy: 19.08%, Value Accuracy: 65.12%
Epoch 3, Train Loss: 4.275057, Validation Loss: 4.347222, Policy Accuracy: 19.04%, Value Accuracy: 65.44%
Epoch 4, Train Loss: 4.273771, Validation Loss: 4.348588, Policy Accuracy: 19.04%, Value Accuracy: 65.43%
Epoch 5, Train Loss: 4.273339, Validation Loss: 4.348576, Policy Accuracy: 19.02%, Value Accuracy: 65.44%
#################### ITERATION #2 ####################
Epoch 1, Train Loss: 4.290247, Validation Loss: 4.350888, Policy Accuracy: 19.00%, Value Accuracy: 65.16%
Epoch 2, Train Loss: 4.276360, Validation Loss: 4.346578, Policy Accuracy: 19.02%, Value Accuracy: 65.30%
Epoch 3, Train Loss: 4.273484, Validation Loss: 4.347579, Policy Accuracy: 19.02%, Value Accuracy: 65.38%
Epoch 4, Train Loss: 4.272949, Validation Loss: 4.348314, Policy Accuracy: 19.02%, Value Accuracy: 65.34%
Epoch 5, Train Loss: 4.272642, Validation Loss: 4.348966, Policy Accuracy: 19.02%, Value Accuracy: 65.39%
#################### ITERATION #3 ####################
Epoch 1, Train Loss: 4.290839, Validation Loss: 4.349631, Policy Accuracy: 18.94%, Value Accuracy: 65.27%
Epoch 2, Train Loss: 4.275988, Validation Loss: 4.347697, Policy Accuracy: 19.07%, Value Accuracy: 65.34%
Epoch 3, Train Loss: 4.272825, Validation Loss: 4.348362, Policy Accuracy: 19.08%, Value Accuracy: 65.34%
Epoch 4, Train Loss: 4.272050, Validation Loss: 4.349141, Policy Accuracy: 19.03%, Value Accuracy: 65.42%
Epoch 5, Train Loss: 4.271939, Validation Loss: 4.349665, Policy Accuracy: 19.06%, Value Accuracy: 65.40%
#################### ITERATION #4 ####################
Epoch 1, Train Loss: 4.301271, Validation Loss: 4.345564, Policy Accuracy: 19.05%, Value Accuracy: 65.40%
Epoch 2, Train Loss: 4.278760, Validation Loss: 4.344995, Policy Accuracy: 19.15%, Value Accuracy: 65.22%
Epoch 3, Train Loss: 4.272630, Validation Loss: 4.347520, Policy Accuracy: 19.08%, Value Accuracy: 65.37%
Epoch 4, Train Loss: 4.271131, Validation Loss: 4.348819, Policy Accuracy: 19.11%, Value Accuracy: 65.43%
Epoch 5, Train Loss: 4.270509, Validation Loss: 4.349956, Policy Accuracy: 19.08%, Value Accuracy: 65.38%
#################### ITERATION #5 ####################
Epoch 1, Train Loss: 4.287396, Validation Loss: 4.348538, Policy Accuracy: 19.05%, Value Accuracy: 65.47%
Epoch 2, Train Loss: 4.273553, Validation Loss: 4.348177, Policy Accuracy: 19.12%, Value Accuracy: 65.42%
Epoch 3, Train Loss: 4.271122, Validation Loss: 4.349155, Policy Accuracy: 19.08%, Value Accuracy: 65.44%
Epoch 4, Train Loss: 4.269791, Validation Loss: 4.350414, Policy Accuracy: 19.10%, Value Accuracy: 65.47%
Epoch 5, Train Loss: 4.269599, Validation Loss: 4.351209, Policy Accuracy: 19.12%, Value Accuracy: 65.42%
#################### ITERATION #6 ####################
Epoch 1, Train Loss: 4.288545, Validation Loss: 4.346555, Policy Accuracy: 19.19%, Value Accuracy: 65.39%
Epoch 2, Train Loss: 4.273760, Validation Loss: 4.349237, Policy Accuracy: 19.09%, Value Accuracy: 65.32%
Epoch 3, Train Loss: 4.270303, Validation Loss: 4.349888, Policy Accuracy: 19.20%, Value Accuracy: 65.49%
Epoch 4, Train Loss: 4.269699, Validation Loss: 4.349789, Policy Accuracy: 19.18%, Value Accuracy: 65.47%
Epoch 5, Train Loss: 4.269573, Validation Loss: 4.350493, Policy Accuracy: 19.07%, Value Accuracy: 65.50%
#################### ITERATION #7 ####################
Epoch 1, Train Loss: 4.289841, Validation Loss: 4.347333, Policy Accuracy: 19.09%, Value Accuracy: 65.53%
Epoch 2, Train Loss: 4.271539, Validation Loss: 4.348795, Policy Accuracy: 19.13%, Value Accuracy: 65.38%
Epoch 3, Train Loss: 4.268546, Validation Loss: 4.349456, Policy Accuracy: 19.17%, Value Accuracy: 65.52%
Epoch 4, Train Loss: 4.267867, Validation Loss: 4.350807, Policy Accuracy: 19.15%, Value Accuracy: 65.46%
Epoch 5, Train Loss: 4.267708, Validation Loss: 4.351347, Policy Accuracy: 19.11%, Value Accuracy: 65.45%
#################### ITERATION #8 ####################
Epoch 1, Train Loss: 4.289159, Validation Loss: 4.348358, Policy Accuracy: 19.06%, Value Accuracy: 65.39%
Epoch 2, Train Loss: 4.271974, Validation Loss: 4.349258, Policy Accuracy: 19.09%, Value Accuracy: 65.40%
Epoch 3, Train Loss: 4.268050, Validation Loss: 4.351640, Policy Accuracy: 19.16%, Value Accuracy: 65.38%
Epoch 4, Train Loss: 4.267087, Validation Loss: 4.351302, Policy Accuracy: 19.15%, Value Accuracy: 65.52%
Epoch 5, Train Loss: 4.266741, Validation Loss: 4.351377, Policy Accuracy: 19.13%, Value Accuracy: 65.49%
#################### ITERATION #9 ####################
Epoch 1, Train Loss: 4.296378, Validation Loss: 4.353878, Policy Accuracy: 19.14%, Value Accuracy: 65.06%
Epoch 2, Train Loss: 4.274475, Validation Loss: 4.349347, Policy Accuracy: 19.12%, Value Accuracy: 65.17%
Epoch 3, Train Loss: 4.268225, Validation Loss: 4.350565, Policy Accuracy: 19.11%, Value Accuracy: 65.38%
Epoch 4, Train Loss: 4.266559, Validation Loss: 4.350928, Policy Accuracy: 19.18%, Value Accuracy: 65.47%
Epoch 5, Train Loss: 4.265988, Validation Loss: 4.351467, Policy Accuracy: 19.11%, Value Accuracy: 65.54%
#################### ITERATION #10 ####################
Epoch 1, Train Loss: 4.281765, Validation Loss: 4.348890, Policy Accuracy: 19.13%, Value Accuracy: 65.50%
Epoch 2, Train Loss: 4.269281, Validation Loss: 4.350804, Policy Accuracy: 19.13%, Value Accuracy: 65.49%
Epoch 3, Train Loss: 4.266804, Validation Loss: 4.352542, Policy Accuracy: 19.15%, Value Accuracy: 65.55%
Epoch 4, Train Loss: 4.266341, Validation Loss: 4.352703, Policy Accuracy: 19.17%, Value Accuracy: 65.49%
Epoch 5, Train Loss: 4.265258, Validation Loss: 4.352281, Policy Accuracy: 19.43%, Value Accuracy: 65.48%
#################### ITERATION #11 ####################
Epoch 1, Train Loss: 4.295335, Validation Loss: 4.343994, Policy Accuracy: 19.63%, Value Accuracy: 65.40%
Epoch 2, Train Loss: 4.267253, Validation Loss: 4.343972, Policy Accuracy: 19.84%, Value Accuracy: 65.31%
Epoch 3, Train Loss: 4.260166, Validation Loss: 4.344516, Policy Accuracy: 20.02%, Value Accuracy: 65.51%
Epoch 4, Train Loss: 4.256873, Validation Loss: 4.342316, Policy Accuracy: 20.23%, Value Accuracy: 65.59%
Epoch 5, Train Loss: 4.254516, Validation Loss: 4.342727, Policy Accuracy: 20.29%, Value Accuracy: 65.49%
